k,accuracy
1,0.8448958333333334
10,0.8485416666666665
15,0.8445625
20,0.8399166666666668
25,0.8357916666666666
30,0.834125
35,0.8314166666666667
40,0.8300416666666667
45,0.827875
50,0.8258333333333333
55,0.8245416666666667
60,0.8232083333333333
65,0.8216041666666666
70,0.8208333333333334
75,0.8193125
80,0.8175416666666667
85,0.8172708333333333
90,0.8151458333333332
95,0.8149999999999998
100,0.8140416666666667
1,0.8438958333333332
2,0.842875
3,0.8497708333333334
4,0.8519791666666666
5,0.8492291666666667
6,0.850375
7,0.851375
8,0.8497499999999999
9,0.8481041666666667
10,0.8483750000000001
11,0.8473958333333333
12,0.8470416666666667
13,0.8449375
14,0.8448333333333334
