k,componentes principales,accuracy
5,5,0.736625
5,20,0.843
5,30,0.8509583333333334
5,50,0.8560208333333333
5,70,0.8584166666666666
5,100,0.8571458333333333
5,130,0.8597916666666666
5,150,0.8586874999999999
10,5,0.7458750000000001
10,20,0.8448333333333334
10,30,0.8509791666666668
10,50,0.8554583333333333
10,70,0.8558749999999999
10,100,0.8589791666666666
10,130,0.858375
10,150,0.8594583333333332
15,5,0.7492916666666666
15,20,0.8412916666666665
15,30,0.8488541666666667
15,50,0.8528958333333334
15,70,0.8543541666666666
15,100,0.8554791666666667
15,130,0.8543333333333333
15,150,0.8567916666666667
20,5,0.7504375000000001
20,20,0.8414791666666668
20,30,0.8476250000000001
20,50,0.8515416666666666
20,70,0.8525
20,100,0.8517708333333334
20,130,0.8531458333333333
20,150,0.8518333333333334
25,5,0.7509791666666665
25,20,0.8384375000000001
25,30,0.8447083333333334
25,50,0.8486458333333333
25,70,0.8491250000000001
25,100,0.8502291666666666
25,130,0.8486041666666667
25,150,0.8484166666666667
30,5,0.7496875000000001
30,20,0.8365833333333332
30,30,0.8435416666666666
30,50,0.8462916666666669
30,70,0.8467500000000001
30,100,0.8466875
30,130,0.8469583333333333
30,150,0.8466875
