k,accuracy
1,0.8500208333333333
10,0.8539791666666666
15,0.8513333333333334
20,0.8473124999999999
25,0.844
30,0.8422500000000002
35,0.8397500000000001
40,0.8383958333333332
45,0.8357083333333334
50,0.8342499999999999
55,0.8334166666666667
60,0.8313124999999999
65,0.8306875
70,0.8287083333333332
75,0.827375
80,0.8256458333333333
85,0.8249583333333333
90,0.8225416666666667
95,0.8231041666666666
100,0.8216458333333334
1,0.8485624999999999
2,0.84375
3,0.8547916666666666
4,0.8558333333333333
5,0.8560000000000001
6,0.856625
7,0.8561666666666665
8,0.8561666666666667
9,0.8541041666666667
10,0.8554375000000001
11,0.8534166666666667
12,0.8536041666666666
13,0.8513124999999999
14,0.8514166666666668
