k,componentes principales,time
5,5,2.803779363632202
5,20,4.942146062850952
5,30,6.249108552932739
5,50,11.78178596496582
5,70,18.35278630256653
5,100,26.445220470428467
5,130,33.59924936294556
5,150,37.3067889213562
10,5,3.0380568504333496
10,20,5.403245687484741
10,30,7.532310485839844
10,50,12.225313425064087
10,70,19.923282623291016
10,100,30.166527271270752
10,130,36.879148960113525
10,150,43.21544528007507
15,5,3.4506168365478516
15,20,5.694737911224365
15,30,7.340939283370972
15,50,13.626383066177368
15,70,21.43671178817749
15,100,31.613593101501465
15,130,38.95792007446289
15,150,43.05773305892944
20,5,3.162985324859619
20,20,5.1810243129730225
20,30,7.01555061340332
20,50,13.038488864898682
20,70,21.201390266418457
20,100,32.30135703086853
20,130,39.66453790664673
20,150,41.6560423374176
25,5,2.845349073410034
25,20,5.345784902572632
25,30,7.553767919540405
25,50,14.608902215957642
25,70,23.936311721801758
25,100,32.989418029785156
25,130,38.212302446365356
25,150,42.90109872817993
30,5,3.2354276180267334
30,20,5.4660234451293945
30,30,7.773843288421631
30,50,14.648578405380249
30,70,23.71826457977295
30,100,34.47063398361206
30,130,41.32424879074097
30,150,43.96083116531372
1,5,2.5881481170654297
1,20,4.4617133140563965
1,30,5.4181599617004395
1,50,9.200315237045288
1,70,14.767870903015137
1,100,21.220409631729126
1,130,26.0362446308136
1,150,30.00386357307434
1,200,37.01081705093384
2,5,2.6617801189422607
2,20,4.491040945053101
2,30,5.809706211090088
2,50,10.397032022476196
2,70,17.283552885055542
2,100,23.58750867843628
2,130,28.191681623458862
2,150,33.06506085395813
2,200,41.070772886276245
3,5,2.723588466644287
3,20,4.626660346984863
3,30,5.8559205532073975
3,50,10.841318845748901
3,70,16.901844263076782
3,100,24.873024940490723
3,130,30.7839252948761
3,150,32.80339574813843
3,200,43.02883744239807
4,5,2.864802122116089
4,20,4.799947261810303
4,30,5.999518394470215
4,50,10.654126405715942
4,70,18.8986713886261
4,100,26.442168951034546
4,130,31.936114072799683
4,150,36.11210894584656
4,200,44.43806505203247
5,5,2.59607195854187
5,20,4.494076251983643
5,30,6.134362697601318
5,50,10.746557474136353
5,70,17.9273943901062
5,100,26.096694707870483
5,130,32.86332154273987
5,150,36.465261697769165
5,200,47.54223084449768
6,5,2.683722734451294
6,20,4.636396169662476
6,30,6.023866415023804
6,50,11.525323629379272
6,70,19.87670922279358
6,100,26.984129905700684
6,130,33.87045454978943
6,150,35.21661901473999
6,200,48.953070402145386
7,5,2.709561586380005
7,20,4.842137575149536
7,30,6.392331838607788
7,50,11.311893701553345
7,70,20.30798888206482
7,100,28.105412006378174
7,130,32.09816527366638
7,150,35.91826915740967
7,200,47.647807121276855
8,5,2.6173927783966064
8,20,4.61763596534729
8,30,6.3850836753845215
8,50,11.719000339508057
8,70,19.22632336616516
8,100,28.479389429092407
8,130,34.892902135849
8,150,36.84235239028931
8,200,47.89320921897888
9,5,2.610560894012451
9,20,4.656806230545044
9,30,6.3884899616241455
9,50,11.442030668258667
9,70,19.57942509651184
9,100,28.619142055511475
9,130,32.63064956665039
9,150,37.37176537513733
9,200,51.47130560874939
10,5,2.776171922683716
10,20,5.099295139312744
10,30,6.709352493286133
10,50,12.497058629989624
10,70,21.36334228515625
10,100,29.362777948379517
10,130,36.26781964302063
10,150,40.59698963165283
10,200,49.40998363494873
11,5,2.931210994720459
11,20,4.730671167373657
11,30,6.532315015792847
11,50,12.257132053375244
11,70,21.593138217926025
11,100,29.61436414718628
11,130,36.13702130317688
11,150,38.50065994262695
11,200,49.72431135177612
12,5,2.6358211040496826
12,20,4.801753997802734
12,30,6.3346734046936035
12,50,11.772783994674683
12,70,22.18415641784668
12,100,29.88768243789673
12,130,37.51382303237915
12,150,38.7431538105011
12,200,52.705307483673096
13,5,2.837857961654663
13,20,5.161900281906128
13,30,6.623948812484741
13,50,12.759770631790161
13,70,22.479915618896484
13,100,30.116139888763428
13,130,34.25848984718323
13,150,39.32256531715393
13,200,53.05196666717529
14,5,3.0010159015655518
14,20,5.308827638626099
14,30,6.854773283004761
14,50,12.833268404006958
14,70,21.970397472381592
14,100,30.586907386779785
14,130,36.0068416595459
14,150,41.695725440979004
14,200,54.94852948188782
