k,time
1,609.8320737361908
10,623.4061962127686
15,628.2184817314148
20,625.1550208091736
25,634.689629125595
30,634.7695893764496
35,634.9252849578858
40,638.4218605041503
45,625.1453896522522
50,634.8692400455475
55,635.9296634197235
60,638.5895862579346
65,632.8005648136138
70,632.8553782463074
75,633.6606482505798
80,634.0211801528931
85,636.8856459617615
90,636.132412147522
95,636.819553232193
100,639.1169777393341
1,607.8239161014557
2,611.5092834949494
3,618.3016932010651
4,622.3202055931091
5,624.7989249229431
6,624.8695768833161
7,626.7736181735993
8,621.9452896595001
9,626.4780900478363
10,623.9224370956421
11,625.9360044956208
12,629.1382760047912
13,626.4617824554443
14,631.1567749500275
